IP, 203.113.172.154, 178.63.94.144, 106.186.31.97, 81.89.0.195, 80.237.226.73, 195.35.109.61, 31.31.79.101, 23.92.21.74, 85.229.222.127, 77.66.46.24, 92.243.29.87, 81.89.0.196, 178.140.104.18, 173.230.129.153, 38.229.0.28, 128.2.211.115, 69.164.198.150, 74.208.69.194, 142.4.213.18, 188.138.9.208, 69.64.48.168, 94.199.51.101, 118.98.221.69, 188.40.153.242, 71.19.157.213, 95.143.172.212, 193.90.12.88, 192.99.15.122, 217.16.181.20, 216.17.105.203, 192.254.168.26, 188.226.191.18, 193.25.173.21, 217.70.191.13, 81.86.158.27, 173.255.213.147, 91.121.82.16, 81.2.197.33, 162.244.25.35, 81.218.235.162, 95.143.172.231, 141.138.196.120, 149.20.54.218, 84.45.76.13, 88.208.205.138, 109.236.85.155, 37.221.161.235, 87.106.142.179, 149.154.152.13, 195.154.78.89
81.86.158.27, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.566175,44.27946,71.640375,110.47804, 'ERROR',110.929605,43.2595,185.14251,36.93044,39.52944,42.696835,86.909295,53.39253,67.25109,44.704435
173.255.213.147, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.584005,160.720475,67.91579,197.4529,150.503515,148.08536,1.74761,140.88332,150.045995,149.073605,176.78392,145.8534,162.74107,194.671625
91.121.82.16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.899155,101.31848,61.4059,17.43507,8.11589,146.32666,7.65109,28.6994,7.55989,44.75653,13.00347,38.079505,6.558655
81.2.197.33, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.13261,75.581905,20.210975,35.15899,170.68696,44.327855,96.217515,27.4216,46.58091,16.640905,5.88203,36.4939
162.244.25.35, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.70203,98.601815,90.4355,79.422475,86.38442,108.60336,89.01346,130.772475,103.31142,116.41992,97.04149
81.218.235.162, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.36343,56.770445,220.184925,81.103325,69.480415, 'ERROR',81.901675,61.992405,80.495955,72.31212
95.143.172.231, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.80747,118.504645,14.85658,17.799015,15.055295,35.9751,3.089785,15.590425,41.73505
141.138.196.120, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.069045,14.91904,15.938645,3.219845,44.15929,22.66443,19.92595,21.588445
149.20.54.218, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.00601,170.580625,154.90353,197.11113,167.06407,166.139965,154.339795
84.45.76.13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.16054,19.32061,47.08302,22.91262,42.137025,19.91558
88.208.205.138, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51.42391,24.09542,35.849575,0
109.236.85.155, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.924575,20.002605,22.122975,0
37.221.161.235, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.246425,44.181105,44.90292
87.106.142.179, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.73245,13.513925
149.154.152.13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75446
195.154.78.89, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
